NHS Board / Practice Code,No. of GPs,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postcode,Telephone Number,List Size
18288,1,Dr R Y Sabur & Partner,Lochthorn Medical Centre,Edinburgh Road,Dumfries,DG1 1TR,01387 259944,3593
18305,7,Charlotte Medical Practice,Lochfield Road Primary Care Centre,12-28 Lochfield Road,Dumfries,DG2 9BH,01387 267626,9205
18310,8,Gillbrae Medical Practice,Gillbrae Road,Dumfries,0,DG1 4EJ,01387 246282,11941
18324,3,Upper Nithsdale Group Practice,Health Centre,Station Road,Sanquhar,DG4 6BT,01659 50221,4602
18339,2,Thornhill Medical Practice,Health Centre,Thornhill,Dumfriesshire,DG3 5AA,01848 330208,3719
18343,4,Cairn Valley Medical Practice,Dunscore Health Centre,Dunscore,0,DG2 0UJ,01387 820266,3993
18358,4,Lockerbie Medical Practice,Lockerbie Health Centre,Victoria Gardens,Lockerbie,DG11 2BJ,01576 205502,5737
18377,6,Lochmaben Medical Group,42-44 High Street,Lochmaben,0,DG11 1NH,01387 810215,4691
18381,2,Church Place Surgery,6 Church Place,Moffat,0,DG10 9ES,01683 220197,2614
18396,1,High Street Surgery,High Street,Moffat,0,DG10 9JP,01683 220062,2945
18409,6,Dr W J G Kieran & Partners,Greencroft Medical Centre (South),Greencroft Wynd,Annan,DG12 6GS,01461 202244,6345
18413,6,Dr N G Kelly & Partners,Greencroft Medical Centre (North),Greencroft Wynd,Annan,DG12 6GN,01461 202745,7555
18428,2,Gretna Surgery,Central Avenue,Gretna,0,DG16 5NA,01461 338317,4636
18432,1,Canonbie Surgery,Bowholm,Canonbie,0,DG14 0UX,013873 71313,2141
18447,5,Langholm Medical Partnership,Health Centre,Langholm,0,DG13 0JY,013873 80355,2841
18451,2, Dr C R Palmer & Partner,The Surgery,Ecclefechan,Lockerbie,DG11 3BT,01576 300208,2477
18560,9,Greyfriars Medical Centre,33-37 Castle Street,Dumfries,0,DG1 1DL,01387 257752,11867
18574,3,Dr C M Donnelly & Partner,Sandhead Surgery,Piggery Road,Sandhead,DG9 9DP,01776 830262,2175
18589,2, Dr N T Miscampbell & Partner,Four Winds,Glenluce,Wigtownshire,DG8 0PU,01581 300315,1712
18593,5,Lochnaw Practice,Waverley Medical Centre,Dalrymple Street,Stranraer,DG9 7DW,01776 743930,4854
18611,3,Southern Machars Practice,3 St. John Street,Whithorn,0,DG8 8PS,01988 500218,3011
FIFE,264, , , , , , , 
20004,5,Anstruther Medical Practice,Skeith Health Centre,"Crail Road, Cellardyke",Anstruther,KY10 3FF,01333 310352,6287
20057,5,Auchtermuchty Practice,Auchtermuchty Health Centre,12 Carswell Wynd,Auchtermuchty,KY14 7AW,01337 828262,5916
20108,8,Muiredge Surgery,Merlin Crescent,Buckhaven,Fife,KY8 1HJ,01592 713299,7371
20151,4,"Drs Bandularatne, McGourty, Rees & Wheal",Burntisland Medical Group,Burntisland Health Centre,"74 Somerville Street, Burntisland",KY3 9DF,01592 872761,5585
20184,1,The Links Practice,"The Health Centre, 74 Somerville Street",BURNTISLAND,Fife,KY3 9DF,01592 873321,1407
20254,2,Wallsgreen Medical Practice,The Health Centre,Wallsgreen Road,Cardenden,KY5 9JE,01592 722441,3097
20305,8,Cowdenbeath Surgery,Cowdenbeath Medical Practice,173 Stenhouse Street,Cowdenbeath,KY4 9DH,01383 518500,10727
20358,2,Crossgates Medical Practice,94 Main Street,Crossgates,Fife,KY4 8DF,01383 511398,4206
20409,5,Eden Villa Practice,The Health Centre,Bank Street,Cupar,KY15 4JN,01334 651223,7650
20413,6,Bank Street Medical Group,The Health Centre,Bank Street,Cupar,KY15 4JN,01334 651201,7258
20451,9,Nethertown Surgery,Elliot Street,Dunfermline,Fife,KY11 4TF,01383 623516,9864
20466,7,New Park Medical Practice,163 Robertson Road,Dunfermline,Fife,KY12 0BL,01383 629200,11786
20471,5,Hospital Hill Surgery,Izatt Avenue,Dunfermline,0,KY11 3BA,01383 731721,8986
20485,4,Millhill Surgery,87 Woodmill Street,Dunfermline,0,KY11 4JW,01383 621222,9053
20490,7,Bellyeoman Surgery,Bellyeoman Road,Dunfermline,Fife,KY12 0AE,01383 721266,9921
20502,7,Linburn Road Health Centre,124 Nith Street,Dunfermline,Fife,KY11 4LT,01383 733490,7793
20606,1,The Lomond Practice,Napier Road,Glenrothes,0,KY6 1HL,01592 765039,7182
20611,6,North Glen Medical Practice,1 Huntsman'S Court,Glenrothes,Fife,KY7 6SX,01592 620062,8792
20630,6,The Glenwood Practice,Glenwood Health Centre,Napier Road,Glenrothes,KY6 1HL,01592 765001,5824
20659,9,Cos Lane Surgery,Woodside Road,Glenrothes,0,KY7 4AQ,01592 752100,9130
20663,4,Rothes Medical Practice,Pitteuchar Health Centre,Glamis Centre,Glenrothes,KY7 4RH,01592 771177,8728
20729,3,Valleyfield Medical Practice,The Health Centre,Chapel Street,High Valleyfield,KY12 8SJ,01383 880511,4491
20752,10,Inverkeithing Medical Group,Inverkeithing Medical Centre,5 Friary Court,Inverkeithing,KY11 1NU,01383 413234,18408
20803,7,Kelty Medical Practice,Kelty Health Centre,80 Main Street,Kelty,KY4 0AE,01383 831281,7236
20856,2,Kennoway Medical Group,Jordan Lane,Kennoway,Fife,KY8 5JZ,01333 350241,3837
20907,3,Kinghorn Medical Practice,Rossland Place,Kinghorn,Fife,KY3 9RT,01592 890217,3310
20950,3,Nicol Street Surgery,48 Nicol Street,Kirkcaldy,Fife,KY1 1PH,01592 642969,6121
20964,5,Dr Anderson & Partners,Kirkcaldy Health Centre,Whyteman'S Brae,Kirkcaldy,KY1 2NA,01592 642902,7341
20979,5,Bennochy Medical Centre,65 Bennochy Road,Kirkcaldy,Fife,KY2 5RB,01592 263332,8007
20983,6,St Brycedale Surgery,St Brycedale Road,Kirkcaldy,Fife,KY1 1ER,01592 640800,6880
20998,6,Path House Medical Practice,7 Nether Street,Kirkcaldy,0,KY1 2PG,01592 805100,10615
21007,5,"Drs Dixon, Duggan, Egerton, Flynn & McCrickard",Kirkcaldy Health Centre,Whyteman'S Brae,Kirkcaldy,KY1 2NA,01592 642178,6922
21011,3,"Drs Mitchell, Morris & Fordyce",Kirkcaldy Health Centre,Whyteman'S Brae,Kirkcaldy,KY1 2NA,01592 641203,6032
21026,1,Dr C M MacGlone,Kirkcaldy Health Centre,Whyteman'S Brae,Kirkcaldy,KY1 2NA,01592 640600,1659
21101,3,Howe of Fife Surgery,27 Commercial Road,Ladybank,Fife,KY15 7JS,01337 830765,4469
21153,4,Leslie Medical Practice,Anderson Drive,Leslie,Fife,KY6 3LQ,01592 620222,6187
21204,3,Pitcairn Practice Leuchars & Balmullo,Balmullo Surgery,1 Pitcairn Drive,Balmullo,KY16 0DZ,01334 839210,3683
21257,3,Dr McLaren & Partners,Leven Health Centre,Victoria Road,Leven,KY8 4ET,01333 432588,8670
21276,4,The Health Centre,Victoria Road,Leven,Fife,KY8 4ET,01333 432555,4030
21308,2,Dr Chan,Surgery,Main Road,Charlestown,KY11 3ED,01383 872201,2650
21384,4,Meadows Practice,The Health Centre,David Street,Lochgelly,KY5 9QZ,01592 782783,5068
21421,4,Benarty Medical Practice,54-58 Lochleven Road,Lochore,Fife,KY5 8DA,01592 860463,7640
21435,3,Lochgelly Medical Group,The Health Centre,David Street,"Lochgelly, Fife",KY5 9QZ,01592 780277,3441
21440,1,Dr K Thompson,The Health Centre,David Street,"Lochgelly, Fife",KY5 9QZ,01592 782954,2303
21454,7,Markinch Medical Practice,19 High Street,Markinch,Fife,KY7 6ER,01592 610640,5952
21505,4,Methilhaven Surgery,361 Methilhaven Road,Methil,Fife,KY8 3HR,01333 426913,6730
21524,6,Airlie Medical Practice,Ajax Way,Methil,Fife,KY8 3RS,01333 426083,7597
21558,3,Newburgh Surgery,116 High Street,Newburgh,Fife,KY14 6DA,01337 840462,3797
21609,7,Tayview Medical Practice,16 Victoria Street,Newport-On-Tay,0,DD6 8DJ,01382 543251,9558
21651,3,Inzievar Medical Practice,Oakley Health Centre,Wardlaw Way,Oakley,KY12 9QH,01383 850212,3847
21666,2,Drs Boggon & Halford,Oakley Health Centre,Wardlaw Way,Oakley,KY12 9QH,01383 850293,3821
21736,4,Dr Kyle & Partners,Pittenweem Surgery,2 Routine Row,Pittenweem,KY10 2LG,01333 311307,4870
21755,6,Primrose Lane Medical Centre,3-5 Jutland Street,Rosyth,Fife,KY11 2ZL,01383 414874,9119
21760,4,Park Road Practice,Park Road Surgery,Park Road,Rosyth,KY11 2SE,01383 418931,5900
21825,6,Blackfriars Medical Practice,St Andrews Community Hospital,Largo Road,St Andrews,KY16 8AR,01334 477477,7212
21830,11,Pipeland Medical Practice,St Andrews Community Hospital,Largo Road,"St Andrews, Fife",KY16 8AR,01334 476840,15297
FORTH VALLEY,273, , , , , , , 
25012,4,Dr Stirling & Partners,Hallpark Road,Sauchie,0,FK10 3JQ,01259 216476,8856
25027,6,Health Centre Practice 2,Hallpark Road,Sauchie,Clackmannanshire,FK10 3JQ,01259 724181,9886
25031,4,Dr Borland & Partners CCHC,Hallpark Road,Sauchie,0,FK10 3JQ,01259 216701,7359
25046,15,Alva Medical Practice,West Johnstone Street,Alva,Clackmannanshire,FK12 5BD,01259 760331,12482
25051,3,Balfron Health Centre,41-47 Buchanan Street,Balfron,0,G63 0TS,01360 440515,2874
25065,2,Edenkiln Surgery,12 Dumbrock Road,Strathblane,0,G63 9EG,01360 770340,2432
25070,5,Forthview Practice,Health Centre,Dean Road,Bo'ness,EH51 0DQ,01506 822466,4267
25084,11,The Richmond Practice,The Richmond Practice,Dean Road,Bo'ness,EH51 0DQ,01506 822665,8424
25099,4,Kinglass Medical Practice,Kinglass Centre,Gauze Road,Bo'ness,EH51 9UE,01506 822556,3225
25101,5,Bridge Of Allan Health Centre,Fountain Road,Bridge Of Allan,0,FK9 4EU,01786 833210,6908
25116,3,Bracklinn Practice,Callander Medical Centre,Geisher Road,Callander,FK17 8LX,01877 331001,2071
25121,2,Leny Practice,Callander Medical Centre,Geisher Road,Callander,FK17 8LX,01877 331000,2326
25135,6,Clackmannan & Kincardine Medical Practice,Main Street,Clackmannan,Clackmannanshire,FK10 4JA,01259 723725,5664
25169,4,Fallin Health Centre,Stirling Road,Fallin,Stirlingshire,FK7 7JD,01786 812412,6136
25173,4,Denny Cross Medical Centre,1 Duke Street,Denny,0,FK6 6DB,01324 822330,5342
25188,13,Carronbank Medical Practice,Denny Health Centre,Carronbank House,Denny,FK6 6GD,01324 822382,9098
25192,4,Antonine Medical Practice,Larbert Road,Bonnybridge,0,FK4 1ED,01324 812315,4873
25205,7,Bonnybank Medical Practice,Bonnybridge Health Centre,Larbert Road,Bonnybridge,FK4 1ED,01324 812613,8638
25210,5,Dollar Health Centre,Park Place,Dollar,0,FK14 7AA,01259 742120,4862
25224,4,Doune Health Centre,Castlehill,Doune,0,FK16 6DR,01786 841213,3963
25243,10,Dunblane Medical Practice,Health Centre,Well Place,Dunblane,FK15 9AL,01786 822595,10281
25262,4,Wallace Medical Centre,254 Thornhill Road,Falkirk,0,FK2 7AZ,01324 622826,7776
25277,2,Ark Medical Practice,9 Booth Place,Falkirk,0,FK1 1BA,01324 621113,2538
25281,8,Meeks Road Surgery,10 Meeks Road,Falkirk,0,FK2 7ES,01324 619930,10397
25309,5,Graeme Medical Centre,1 Western Avenue,Falkirk,0,FK2 7HR,01324 624437,5764
25313,6,Camelon Medical Practice,3 Baird Street,Camelon,Falkirk,FK1 4PP,01324 622854,8218
25332,5,Bo'ness Road Medical Practice,33 Bo'ness Road,Grangemouth,0,FK3 8AN,01324 482653,8478
25347,6,Killearn Health Centre,Killearn,0,0,G63 9NA,01360 550339,4332
25351,2,Killin Medical Practice,Laggan Leigheas,Killin,0,FK21 8TQ,01567 820213,1580
25366,3,Kippen Surgery,Castlehill Loan,Kippen,0,FK8 3DZ,01786 870369,2051
25390,4,Viewpoint Medical Practice,Stenhousemuir Health Centre,Park Drive,Stenhousemuir,FK5 3BB,01324 552200,6473
25402,3,Parkview Practice,Stenhousemuir Health Centre,Park Drive,Stenhousemuir,FK5 3BB,01324 554411,4135
25436,2,Dr Stephen Brown,Meadowbank Health Centre,Salmon Inn Road,Polmont,FK2 0XF,01324 722454,3006
25441,8,Polmont Park Medical Practice,Meadowbank Health Centre,Salmon Inn Road,Polmont,FK2 0XF,01324 715753,7243
25455,5,Braesview Medical Group,Meadowbank Health Centre,Salmon Inn Road,Polmont,FK2 0XF,01324 715540,7520
25460,5,Dr C Whitelaw & Partners,Meadowbank Health Centre,Polmont,Falkirk,FK2 0XF,01324 715446,10744
25474,3,Slamannan Medical Practice,Bank Street,Slamannan,Stirlingshire,FK1 3EZ,01324 851288,1974
25506,6,Park Terrace Medical Practice,7a Park Terrace,Stirling,0,FK8 2JT,01786 445 888,6977
25525,4,Orchard House Health Centre,Orchard House Health Centre,Union Street,Stirling,FK8 1PH,01786 450394,4247
25544,11,Tillicoultry Medical Practice,Park Street,Tillicoultry,0,FK13 6AG,01259 750531,7787
25559,6,Airthrey Park Medical Centre,Hermitage Road,University Of Stirling,Stirling,FK9 4NJ,01786 463831,7596
25582,6,Park Avenue Medical Centre,9 Park Avenue,Stirling,0,FK8 2QR,01786 473529,7890
25597,2,Stenhouse Practice,Stenhousemuir Health Centre,Park Drive,Stenhousemuir,FK5 3BB,01324 570570,3391
25600,4,Bannockburn Health Centre,Firs Entry,Bannockburn,Stirling,FK7 0HW,01786 813435,9044
25614,1,Strathcarron Hospice,Randolph Hill,Denny,Stirlingshire,FK6 5HJ,01324 826222, 
25629,1,Aberfoyle Medical Centre,Main Street,Aberfoyle,Stirlingshire,FK8 3UQ,01877 382421,1196
25633,2,Buchlyvie Surgery,Station Road,Buchlyvie,Stirling,FK8 3NB,01877 382421,1229
25648,4,Tryst Medical Centre,431 King Street,Stenhousemuir,0,FK5 4HT,01324 551555,6419
25652,5,Carron Medical Centre,Ronades Road,Bainsford,Falkirk,FK2 7TA,01324 619940,4158
25671,3,Ochilview Practice,Stenhousemuir Health Centre,Park Drive,Stenhousemuir,FK5 3BB,01324 554136,4894
25686,5,Allan Park Medical Practice,19 Allan Park,Stirling,0,FK8 2QD,01786 451375,3753
25691,1,The Wallace Medical Practice,Wallace House,Maxwell Place,Stirling,FK8 1JU,01786 448900,1729
25737,4,Viewfield Medical Practice,3 Viewfield Place,Stirling,0,FK8 1NJ,01786 472028,8959
25826,1,Direct Patient Care Service,Accident & Emergency Dept,Forth Valley Royal Hospital,"Stirling Rd, Larbert",FK5 4WR,01324 624000,28
25864,5,Kersiebank Medical Practice,Health Centre,Kersiebank Avenue,Grangemouth,FK3 9EW,01324 665533,9099
25883,4,Westburn Medical Practice,Falkirk CommunityHospital,Westburn Ave,Falkirk,FK1 5SU,01324 623577,4730
25898,1,Drymen Health Centre,2 Old Gartmore Road,Drymen,0,G63 0DP,01360 660203,1433
25915,5,Carseview House,Carseview House,Castle Business Park,Stirling,FK9 4SW,01786 463031, 
GRAMPIAN,550, , , , , , , 
30030,10,Garthdee Medical Group,Health Centre Garthdee Road,Aberdeen,Aberdeenshire,AB10 7QQ,01224 208312,9938
30059,10,Holburn Medical Group,7 Albyn Place,Aberdeen,0,AB10 1YE,01224 400800,9176
30078,6,Denburn Medical Practice,Denburn Health Centre,Rosemount Viaduct,Aberdeen,AB25 1QB,01224 643333,10809
30082,8,Whinhill Medical Practice,20 Whinhill Road,Aberdeen,0,AB11 7XH,0345 337 6201,6951
30203,13,Elmbank Group Practice,Foresterhill Health Centre,Westburn Road,Aberdeen,AB25 2AY,0345 337 0710,10227
30218,6,Hamilton Medical Group,4 Queens Road,Aberdeen,0,AB15 4ZT,01224 562888,6827
30256,2,Bucksburn Medical Practice,Bucksburn Clinic,Kepplehills Road,Bucksburn,AB21 9DG,01224 713927,2729
30261,3,Westburn Medical Group,"Foresterhill Health Centre, Westburn Road",Aberdeen,Aberdeenshire,AB25 2AY,01224 559595,5268
30275,6,Torry Medical Practice,Torry Neighbourhood Centre,Oscar Road,Aberdeen,AB11 8ER,01224 894600,7357
30280,8,New Dyce Medical Practice,Dyce Health Centre,23a Altonrea Gardens,Dyce Aberdeen,AB21 7NQ,0345 3379922,10063
30307,10,Great Western Medical Practice,Seafield Road,Aberdeen,Aberdeenshire,AB15 7YT,0345 337 0540,10124
30401,13,Kincorth Medical Practice,Kincorth Community Health Centre,Provost Watt Drive,Kincorth,AB12 5NA,0345 337 1170,12540
30504,16,Oldmachar Medical Practice,526 King Street,Aberdeen,0,AB24 5RS,0345 3370510,17926
30561,3,Marywell Healthcare Centre,90 College Street,Aberdeen,0,AB11 6FD,01224 594108,431
30627,8,Links Medical Practice,City Hospital,Park Road,Aberdeen,AB24 5AU,0345 337 6340,8616
30701,12,Calsayseat Medical Group,44 Powis Place,Aberdeen,0,AB25 3TX,0345 3376370,13124
30769,7,Northfield/Mastrick Medical Practice,Northfield/Mastrick Clinic,"Quarry Road, Northfield",Aberdeen,AB16 5UU,01224662911,5176
30805,5,Rosemount Medical Group,Rosemount Medical Practice,1 View Terrace,Aberdeen,AB25 2RS,0345 337 0520,4358
30909,10,Albyn Medical Practice,The Albyn Medical Practice,30 Albyn Place,Aberdeen,AB10 1NW,01224 586829,10323
